obj_id,Area,rst1,Mean_1
1,1,0,75
2,1,0,73
3,1,0,80
4,1,0,68
5,3,0.222222222222222,32
6,1,0,53
7,1,0,49
8,1,0,50
9,2,0.25,32
10,3,0.222222222222222,48
11,1,0,49
12,1,0,48
13,1,0,53
14,1,0,49
15,1,0,50
16,4,0.375,48
17,232,19.3340517241379,32
18,1,0,196
19,1,0,191
20,1,0,193
21,2,0.25,195
22,1,0,203
23,1,0,198
24,1,0,206
25,1,0,205
26,2,0.25,208
27,1,0,207
28,1,0,202
29,1,0,209
30,1,0,213
31,1,0,216
32,1,0,212
33,1,0,219
34,2,0.25,221
35,2,0.25,220
36,1,0,215
37,1,0,217
38,1,0,219
39,2,0.25,221
40,1,0,222
41,1,0,224
42,1,0,223
43,1,0,224
44,1,0,227
45,1,0,225
46,1,0,224
47,1,0,223
48,1,0,222
49,1,0,220
50,1,0,227
51,1,0,224
52,1,0,225
53,1,0,223
54,1,0,224
55,1,0,225
56,1,0,227
57,1,0,220
58,1,0,222
59,1,0,225
60,1,0,228
61,1,0,226
62,1,0,227
63,1,0,224
64,1,0,223
65,1,0,228
66,2,0.25,230
67,1,0,227
68,1,0,229
69,1,0,227
70,2,0.25,228
71,1,0,224
72,1,0,229
73,2,0.25,228
74,1,0,227
75,1,0,226
76,1,0,228
77,1,0,229
78,1,0,230
79,1,0,229
80,1,0,232
81,2,0.25,228
82,1,0,224
83,1,0,231
84,1,0,228
85,1,0,229
86,1,0,230
87,2,0.25,227
88,1,0,231
89,1,0,225
90,2,0.25,226
91,1,0,229
92,1,0,225
93,1,0,227
94,1,0,228
95,1,0,227
96,1,0,228
97,2,0.25,230
98,1,0,229
99,1,0,227
100,2,0.25,228
101,1,0,225
102,1,0,226
103,1,0,228
104,1,0,229
105,1,0,228
106,1,0,230
107,1,0,228
108,1,0,231
109,1,0,229
110,2,0.25,230
111,1,0,229
112,1,0,232
113,1,0,229
114,1,0,226
115,1,0,228
116,1,0,227
117,1,0,225
118,1,0,226
