obj_id,STD_1,Skew_1,ASM_Avg,ASM_Range,IDNorm_Avg,IDNorm_Range,Class
barcha110907A1D.tif,10.177415,0.72487,0.00356,0.000435,0.273465,0.041078,NOSyrinx
barhon033115a1d.tif,8.581013,-0.080133,0.007144,0.002801,0.366424,0.054772,NOSyrinx
barnor101207A1D.tif,10.342551,0.455295,0.00683,0.001652,0.329202,0.067506,NOSyrinx
biligo042809A1D.tif,11.201142,-1.142635,0.00341,0.00082,0.304961,0.041916,NOSyrinx
cardai041108A1D.tif,7.70352,0.846557,0.005715,0.00066,0.313642,0.048482,NOSyrinx
chakin050109A1D.tif,10.87973,0.99514,0.005163,0.00234,0.284332,0.059032,NOSyrinx
chalil052809A1D.tif,11.898851,-0.101113,0.002103,0.000829,0.280724,0.061953,NOSyrinx
chapet052709A1D.tif,8.730691,1.078772,0.006,0.002072,0.374532,0.076911,NOSyrinx
colmol080610a1d.tif,9.249663,0.624927,0.003962,0.001247,0.313261,0.067093,NOSyrinx
copcha011413a1d.tif,18.777341,0.462819,0.001736,0.000479,0.283681,0.04384,NOSyrinx
balluc111213a1d.tif,14.567606,0.876328,0.002271,0.000732,0.27634,0.06744,Syrinxs
bargra111706A1D.tif,5.684268,-0.338967,0.008228,0.002239,0.353995,0.046216,Syrinxs
bekpan122309A1D.tif,11.292932,0.144827,0.002474,0.000468,0.243783,0.053078,Syrinxs
buamuf120709A1D.tif,7.573615,-0.042735,0.00571,0.001507,0.347991,0.04524,Syrinxs
cammag011210A1D.tif,15.183844,0.866154,0.002393,0.00073,0.284782,0.053462,Syrinxs
candia013014a1d.tif,9.486203,0.195861,0.004749,0.001724,0.344502,0.058396,Syrinxs
capenz090415a1d.tif,12.080279,0.806238,0.003272,0.001403,0.318627,0.070567,Syrinxs
chageo050109A1D.tif,20.497817,-1.111868,0.002333,0.000741,0.291174,0.0543,Syrinxs
chamor052809A1D.tif,11.220129,0.077528,0.002171,0.000668,0.289456,0.060125,Syrinxs
chasam050509A1D.tif,8.345819,0.624442,0.006433,0.001763,0.379341,0.044544,Syrinxs
Binary:,0,0,0,0,0,0,0
Projections Width:,5,0,0,0,0,0,0
Projections Height:,5,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0
Histogram:,2,0,0,0,0,0,0
Texture:,2,0,0,0,0,0,0
Texture Distance:,6,0,0,0,0,0,0
Te. Quant Level:,256,0,0,0,0,0,0
Stats(Avg Rang Var):,110,0,0,0,0,0,0
Spectral:,0,0,0,0,0,0,0
Rings:,0,0,0,0,0,0,0
Sectors:,0,0,0,0,0,0,0
Images:,20,0,0,0,0,0,0
