obj_id,STD_1,Skew_1,ASM_Avg,ASM_Range,IDNorm_Avg,IDNorm_Range,Class
deejim020909A1D.tif,10.977835,0.507971,0.003639,0.001319,0.308309,0.06532,NOSyrinx
duispa082809A1D.tif,6.372533,-0.844159,0.006303,0.002329,0.380274,0.084491,NOSyrinx
eckcla113006A1D.tif,6.619165,-0.050247,0.005517,0.001085,0.3317,0.052676,NOSyrinx
eckmil070908A1D.tif,11.510681,-0.150989,0.002769,0.000664,0.258763,0.079309,NOSyrinx
eckwin030207A1D.tif,17.722452,0.522899,0.001248,0.000309,0.204602,0.035762,NOSyrinx
gildex041514a1d.tif,15.729197,0.594729,0.001472,0.000194,0.258019,0.024717,NOSyrinx
grebra051013a1d.tif,6.77335,0.043626,0.007883,0.001863,0.361034,0.042839,NOSyrinx
iankc012009A1D.tif,9.551062,-0.776135,0.006634,0.00187,0.332198,0.041246,NOSyrinx
kanmon041511a1d.tif,10.301157,0.829011,0.00443,0.002064,0.342627,0.082829,NOSyrinx
karlay0301009A1D.tif,10.658118,0.482148,0.003811,0.00122,0.34874,0.068101,NOSyrinx
katfre040607A1D.tif,7.744414,0.921226,0.004821,0.000909,0.301637,0.046608,NOSyrinx
lansav012609A1D.tif,8.829398,0.578877,0.005656,0.001369,0.325838,0.047211,NOSyrinx
lascla051608A1D.tif,10.734656,-0.111895,0.003132,0.001168,0.281681,0.083552,NOSyrinx
lucoll120712a1d.tif,11.775381,0.05691,0.002334,0.00144,0.273951,0.086941,NOSyrinx
mcgmay031315a1d.tif,13.488632,-0.16353,0.002007,0.000716,0.277875,0.067556,NOSyrinx
ostame041307A1D.tif,29.381433,1.837989,0.066035,0.007923,0.305459,0.011647,NOSyrinx
pethor110510a1d.tif,10.216339,-3.69088,0.00396,0.001532,0.316624,0.069255,NOSyrinx
porlad040609A1D.tif,7.322639,0.997038,0.006408,0.002249,0.343192,0.059611,NOSyrinx
roagin112808A1D.tif,7.232718,-0.431375,0.005965,0.002155,0.328309,0.058686,NOSyrinx
soomin071609A1D.tif,9.68244,-0.574067,0.004817,0.001543,0.343813,0.056183,NOSyrinx
termia120412a1d.tif,8.177064,1.425809,0.008521,0.003015,0.372377,0.038472,NOSyrinx
wicsad022409A1D.tif,10.868174,-0.079646,0.003158,0.000834,0.330058,0.04302,NOSyrinx
wilcas072214a1d.tif,7.006613,0.374975,0.008572,0.003171,0.33566,0.057208,NOSyrinx
wilpri121014a1d.tif,9.436362,-0.263285,0.003968,0.000653,0.335278,0.032222,NOSyrinx
zortiz011110A1D.tif,8.944884,0.779948,0.0061,0.002193,0.358461,0.074681,NOSyrinx
chaste062309A1D.tif,6.966781,1.29639,0.005707,0.001751,0.309409,0.067722,Syrinxs
dejmia062515a1d.tif,8.911575,-0.288219,0.004815,0.001607,0.359304,0.052951,Syrinxs
dursop031010A1D.tif,11.144064,-0.256596,0.004019,0.000962,0.335179,0.059359,Syrinxs
eckcha030207A1D.tif,22.288883,0.226285,0.000738,0.000171,0.181998,0.057043,Syrinxs
eckfiz072809A1D.tif,8.783487,0.2519,0.004027,0.000986,0.317246,0.048512,Syrinxs
eckmer112906A1D.tif,13.039405,0.637118,0.002796,0.000622,0.296038,0.050081,Syrinxs
elypar033010A1D.tif,9.040512,0.62889,0.004229,0.001426,0.341427,0.047204,Syrinxs
erimil040809A1D.tif,15.546623,0.968138,0.002292,0.000673,0.256424,0.047339,Syrinxs
farell021209A1D.tif,7.281974,0.29587,0.007425,0.002117,0.370591,0.04619,Syrinxs
glemad040513a1d.tif,10.178884,0.736585,0.004278,0.001275,0.311115,0.05036,Syrinxs
grenat030513a1d.tif,11.221521,-0.370609,0.003524,0.001466,0.310573,0.059948,Syrinxs
marbel041715a1d.tif,8.536868,1.296525,0.006043,0.001557,0.325407,0.059616,Syrinxs
marcri032613a1d.tif,12.930114,0.283808,0.002768,0.00084,0.343897,0.055653,Syrinxs
mccdas041717a1d.tif,9.665951,1.312577,0.010598,0.003141,0.312068,0.032165,Syrinxs
mirluc031815a1d.tif,6.913138,1.168841,0.009021,0.002428,0.386722,0.038181,Syrinxs
mmcsca120309A1D.tif,11.381178,0.40311,0.005748,0.001878,0.361978,0.069027,Syrinxs
murcha052813a1d.tif,9.517853,-0.299636,0.004138,0.001576,0.340545,0.060879,Syrinxs
piaaut051515a1d.tif,10.773007,-0.660212,0.003015,0.000705,0.292445,0.050907,Syrinxs
romche050114a1d.tif,13.030482,1.149982,0.004049,0.001413,0.322162,0.06213,Syrinxs
rugchl100913a1d.tif,7.225756,0.368556,0.007581,0.0019,0.377802,0.038031,Syrinxs
seated022315a1d.tif,10.32993,0.107132,0.00379,0.001276,0.32855,0.067897,Syrinxs
smidap062215a1d.tif,7.457343,0.621424,0.005935,0.001798,0.362232,0.050772,Syrinxs
steabb052815a1d.tif,11.248475,0.54043,0.00274,0.000883,0.285224,0.057266,Syrinxs
steoti091013a1d.tif,10.813242,0.559038,0.003679,0.000986,0.304571,0.048304,Syrinxs
vitcha012613a1d.tif,14.461909,0.324623,0.001922,0.00052,0.287,0.045431,Syrinxs
Binary:,0,0,0,0,0,0,0
Projections Width:,5,0,0,0,0,0,0
Projections Height:,5,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0
Histogram:,2,0,0,0,0,0,0
Texture:,2,0,0,0,0,0,0
Texture Distance:,6,0,0,0,0,0,0
Te. Quant Level:,256,0,0,0,0,0,0
Stats(Avg Rang Var):,110,0,0,0,0,0,0
Spectral:,0,0,0,0,0,0,0
Rings:,0,0,0,0,0,0,0
Sectors:,0,0,0,0,0,0,0
Images:,50,0,0,0,0,0,0
